Record date,GEO,Type of stock,Type of crop,K tonnes
31/12/2015,Manitoba,Farm stocks,Rye,32
31/12/2015,Manitoba,Farm stocks,Soybeans,449
31/12/2015,Manitoba,Farm stocks,Wheat,2430
31/12/2015,Manitoba,Farm stocks,Wheat,0
31/12/2015,Manitoba,Farm stocks,Wheat,2430
31/12/2015,Saskatchewan,Farm stocks,Barley,1800
31/12/2015,Saskatchewan,Farm stocks,Canola,6050
31/12/2015,Saskatchewan,Farm stocks,Flaxseed,585
31/12/2015,Saskatchewan,Farm stocks,Lentils,960
31/12/2015,Saskatchewan,Farm stocks,Oats,1335
31/12/2015,Saskatchewan,Farm stocks,Peas,1258
31/12/2015,Saskatchewan,Farm stocks,Rye,47
31/12/2015,Saskatchewan,Farm stocks,Soybeans,75
31/12/2015,Saskatchewan,Farm stocks,Wheat,8775
31/12/2015,Saskatchewan,Farm stocks,Wheat,2900
31/12/2015,Saskatchewan,Farm stocks,Wheat,5875
31/12/2015,Alberta,Farm stocks,Barley,2900
31/12/2015,Alberta,Farm stocks,Canola,3960
31/12/2015,Alberta,Farm stocks,Corn,65
31/12/2015,Alberta,Farm stocks,Flaxseed,55
31/12/2015,Alberta,Farm stocks,Lentils,77
31/12/2015,Alberta,Farm stocks,Oats,350
31/12/2015,Alberta,Farm stocks,Peas,800
31/12/2015,Alberta,Farm stocks,Rye,25
31/12/2015,Alberta,Farm stocks,Wheat,5695
31/12/2015,Alberta,Farm stocks,Wheat,420
31/12/2015,Alberta,Farm stocks,Wheat,5275
31/12/2015,British Columbia,Farm stocks,Barley,44
31/12/2015,British Columbia,Farm stocks,Canola,5
31/12/2015,British Columbia,Farm stocks,Oats,32
31/12/2015,British Columbia,Farm stocks,Peas,12
31/12/2015,British Columbia,Farm stocks,Wheat,40
31/12/2015,British Columbia,Farm stocks,Wheat,40
31/03/2016,Canada,Farm stocks,Barley,3430
31/03/2016,Canada,Farm stocks,Canola,6982
31/03/2016,Canada,Farm stocks,Corn,5775
31/03/2016,Canada,Farm stocks,Flaxseed,476
31/03/2016,Canada,Farm stocks,Lentils,427
31/03/2016,Canada,Farm stocks,Oats,1568
31/03/2016,Canada,Farm stocks,Peas,1058
31/03/2016,Canada,Farm stocks,Rye,78
31/03/2016,Canada,Farm stocks,Soybeans,1168
31/03/2016,Canada,Farm stocks,Wheat,10395
31/03/2016,Canada,Farm stocks,Wheat,1905
31/03/2016,Canada,Farm stocks,Wheat,8490
31/03/2016,Canada,Commercial stocks,Barley,303
31/03/2016,Canada,Commercial stocks,Canola,1633
31/03/2016,Canada,Commercial stocks,Corn,1988
31/03/2016,Canada,Commercial stocks,Flaxseed,80
31/03/2016,Canada,Commercial stocks,Lentils,128
31/03/2016,Canada,Commercial stocks,Oats,251
31/03/2016,Canada,Commercial stocks,Peas,293
31/03/2016,Canada,Commercial stocks,Rye,21
31/03/2016,Canada,Commercial stocks,Soybeans,780
31/03/2016,Canada,Commercial stocks,Wheat,3984
31/03/2016,Canada,Commercial stocks,Wheat,800
31/03/2016,Canada,Commercial stocks,Wheat,3185
31/03/2016,Eastern Canada,Farm stocks,Barley,185
31/03/2016,Eastern Canada,Farm stocks,Canola,9
31/03/2016,Eastern Canada,Farm stocks,Corn,5370
31/03/2016,Eastern Canada,Farm stocks,Oats,175
31/03/2016,Eastern Canada,Farm stocks,Rye,10
31/03/2016,Eastern Canada,Farm stocks,Soybeans,988
31/03/2016,Eastern Canada,Farm stocks,Wheat,355
31/03/2016,Eastern Canada,Farm stocks,Wheat,355
31/03/2016,Prince Edward Island,Farm stocks,Barley,30
31/03/2016,Prince Edward Island,Farm stocks,Corn,0
31/03/2016,Prince Edward Island,Farm stocks,Oats,3
31/03/2016,Prince Edward Island,Farm stocks,Soybeans,9
31/03/2016,Prince Edward Island,Farm stocks,Wheat,15
31/03/2016,Prince Edward Island,Farm stocks,Wheat,15
31/03/2016,Nova Scotia,Farm stocks,Barley,2
31/03/2016,Nova Scotia,Farm stocks,Corn,15
31/03/2016,Nova Scotia,Farm stocks,Oats,1
31/03/2016,Nova Scotia,Farm stocks,Soybeans,2
31/03/2016,Nova Scotia,Farm stocks,Wheat,5
31/03/2016,Nova Scotia,Farm stocks,Wheat,5
31/03/2016,New Brunswick,Farm stocks,Barley,8
31/03/2016,New Brunswick,Farm stocks,Canola,0
31/03/2016,New Brunswick,Farm stocks,Corn,5
31/03/2016,New Brunswick,Farm stocks,Oats,17
31/03/2016,New Brunswick,Farm stocks,Soybeans,2
31/03/2016,New Brunswick,Farm stocks,Wheat,5
31/03/2016,New Brunswick,Farm stocks,Wheat,5
31/03/2016,Quebec,Farm stocks,Barley,72
31/03/2016,Quebec,Farm stocks,Canola,4
31/03/2016,Quebec,Farm stocks,Corn,1950
31/03/2016,Quebec,Farm stocks,Oats,100
31/03/2016,Quebec,Farm stocks,Rye,2
31/03/2016,Quebec,Farm stocks,Soybeans,280
31/03/2016,Quebec,Farm stocks,Wheat,80
31/03/2016,Quebec,Farm stocks,Wheat,80
31/03/2016,Ontario,Farm stocks,Barley,73
31/03/2016,Ontario,Farm stocks,Canola,5
31/03/2016,Ontario,Farm stocks,Corn,3400
31/03/2016,Ontario,Farm stocks,Oats,55
31/03/2016,Ontario,Farm stocks,Rye,8
31/03/2016,Ontario,Farm stocks,Soybeans,700
31/03/2016,Ontario,Farm stocks,Wheat,250
31/03/2016,Ontario,Farm stocks,Wheat,250
31/03/2016,Western Canada,Farm stocks,Barley,3245
31/03/2016,Western Canada,Farm stocks,Canola,6973
31/03/2016,Western Canada,Farm stocks,Corn,405
31/03/2016,Western Canada,Farm stocks,Flaxseed,476
31/03/2016,Western Canada,Farm stocks,Lentils,427
31/03/2016,Western Canada,Farm stocks,Oats,1393
31/03/2016,Western Canada,Farm stocks,Peas,1058
31/03/2016,Western Canada,Farm stocks,Rye,68
31/03/2016,Western Canada,Farm stocks,Soybeans,175
31/03/2016,Western Canada,Farm stocks,Wheat,10040
31/03/2016,Western Canada,Farm stocks,Wheat,1905
31/03/2016,Western Canada,Farm stocks,Wheat,8135
31/03/2016,Manitoba,Farm stocks,Barley,310
31/03/2016,Manitoba,Farm stocks,Canola,1170
31/03/2016,Manitoba,Farm stocks,Corn,375
31/03/2016,Manitoba,Farm stocks,Flaxseed,23
31/03/2016,Manitoba,Farm stocks,Lentils,0
31/03/2016,Manitoba,Farm stocks,Oats,187
31/03/2016,Manitoba,Farm stocks,Peas,19
31/03/2016,Manitoba,Farm stocks,Rye,10
31/03/2016,Manitoba,Farm stocks,Soybeans,160
31/03/2016,Manitoba,Farm stocks,Wheat,1415
31/03/2016,Manitoba,Farm stocks,Wheat,0
31/03/2016,Manitoba,Farm stocks,Wheat,1415
31/03/2016,Saskatchewan,Farm stocks,Barley,1050
31/03/2016,Saskatchewan,Farm stocks,Canola,3450
31/03/2016,Saskatchewan,Farm stocks,Flaxseed,415
31/03/2016,Saskatchewan,Farm stocks,Lentils,390
31/03/2016,Saskatchewan,Farm stocks,Oats,925
31/03/2016,Saskatchewan,Farm stocks,Peas,636
31/03/2016,Saskatchewan,Farm stocks,Rye,38
31/03/2016,Saskatchewan,Farm stocks,Soybeans,15
31/03/2016,Saskatchewan,Farm stocks,Wheat,5265
31/03/2016,Saskatchewan,Farm stocks,Wheat,1725
31/03/2016,Saskatchewan,Farm stocks,Wheat,3540
31/03/2016,Alberta,Farm stocks,Barley,1850
31/03/2016,Alberta,Farm stocks,Canola,2350
31/03/2016,Alberta,Farm stocks,Corn,30
31/03/2016,Alberta,Farm stocks,Flaxseed,38
31/03/2016,Alberta,Farm stocks,Lentils,37
31/03/2016,Alberta,Farm stocks,Oats,265
31/03/2016,Alberta,Farm stocks,Peas,400
31/03/2016,Alberta,Farm stocks,Rye,20
31/03/2016,Alberta,Farm stocks,Wheat,3330
31/03/2016,Alberta,Farm stocks,Wheat,180
31/03/2016,Alberta,Farm stocks,Wheat,3150
31/03/2016,British Columbia,Farm stocks,Barley,35
31/03/2016,British Columbia,Farm stocks,Canola,3
31/03/2016,British Columbia,Farm stocks,Oats,16
31/03/2016,British Columbia,Farm stocks,Peas,3
31/03/2016,British Columbia,Farm stocks,Wheat,30
31/03/2016,British Columbia,Farm stocks,Wheat,30
31/07/2016,Canada,Farm stocks,Barley,1288
31/07/2016,Canada,Farm stocks,Canola,990
31/07/2016,Canada,Farm stocks,Corn,1625
31/07/2016,Canada,Farm stocks,Flaxseed,174
31/07/2016,Canada,Farm stocks,Lentils,35
31/07/2016,Canada,Farm stocks,Oats,683
31/07/2016,Canada,Farm stocks,Peas,98
31/07/2016,Canada,Farm stocks,Rye,34
31/07/2016,Canada,Farm stocks,Soybeans,16
31/07/2016,Canada,Farm stocks,Wheat,2205
31/07/2016,Canada,Farm stocks,Wheat,480
31/07/2016,Canada,Farm stocks,Wheat,1725
31/07/2016,Canada,Commercial stocks,Barley,155
31/07/2016,Canada,Commercial stocks,Canola,1101
31/07/2016,Canada,Commercial stocks,Corn,617
31/07/2016,Canada,Commercial stocks,Flaxseed,105
31/07/2016,Canada,Commercial stocks,Lentils,38
31/07/2016,Canada,Commercial stocks,Oats,284
31/07/2016,Canada,Commercial stocks,Peas,76
31/07/2016,Canada,Commercial stocks,Rye,17
31/07/2016,Canada,Commercial stocks,Soybeans,364
31/07/2016,Canada,Commercial stocks,Wheat,2973
31/07/2016,Canada,Commercial stocks,Wheat,620
31/07/2016,Canada,Commercial stocks,Wheat,2353
31/07/2016,Eastern Canada,Farm stocks,Barley,70
31/07/2016,Eastern Canada,Farm stocks,Canola,0
31/07/2016,Eastern Canada,Farm stocks,Corn,1550
31/07/2016,Eastern Canada,Farm stocks,Oats,73
31/07/2016,Eastern Canada,Farm stocks,Rye,3
31/07/2016,Eastern Canada,Farm stocks,Soybeans,6
31/07/2016,Eastern Canada,Farm stocks,Wheat,85
31/07/2016,Eastern Canada,Farm stocks,Wheat,85
31/07/2016,Prince Edward Island,Farm stocks,Barley,4
31/07/2016,Prince Edward Island,Farm stocks,Corn,0
31/07/2016,Prince Edward Island,Farm stocks,Oats,0
31/07/2016,Prince Edward Island,Farm stocks,Soybeans,0
31/07/2016,Prince Edward Island,Farm stocks,Wheat,2
31/07/2016,Prince Edward Island,Farm stocks,Wheat,2
31/07/2016,Nova Scotia,Farm stocks,Barley,1
31/07/2016,Nova Scotia,Farm stocks,Corn,0
31/07/2016,Nova Scotia,Farm stocks,Oats,0
31/07/2016,Nova Scotia,Farm stocks,Soybeans,0
31/07/2016,Nova Scotia,Farm stocks,Wheat,2
31/07/2016,Nova Scotia,Farm stocks,Wheat,2
31/07/2016,New Brunswick,Farm stocks,Barley,0
31/07/2016,New Brunswick,Farm stocks,Canola,0
31/07/2016,New Brunswick,Farm stocks,Corn,0
31/07/2016,New Brunswick,Farm stocks,Oats,8
31/07/2016,New Brunswick,Farm stocks,Soybeans,0
31/07/2016,New Brunswick,Farm stocks,Wheat,1
31/07/2016,New Brunswick,Farm stocks,Wheat,1
31/07/2016,Quebec,Farm stocks,Barley,25
31/07/2016,Quebec,Farm stocks,Canola,0
31/07/2016,Quebec,Farm stocks,Corn,500
31/07/2016,Quebec,Farm stocks,Oats,40
31/07/2016,Quebec,Farm stocks,Rye,0
31/07/2016,Quebec,Farm stocks,Soybeans,1
31/07/2016,Quebec,Farm stocks,Wheat,30
31/07/2016,Quebec,Farm stocks,Wheat,30
31/07/2016,Ontario,Farm stocks,Barley,40
31/07/2016,Ontario,Farm stocks,Canola,0
31/07/2016,Ontario,Farm stocks,Corn,1050
31/07/2016,Ontario,Farm stocks,Oats,25
31/07/2016,Ontario,Farm stocks,Rye,3
31/07/2016,Ontario,Farm stocks,Soybeans,5
31/07/2016,Ontario,Farm stocks,Wheat,50
31/07/2016,Ontario,Farm stocks,Wheat,50
31/07/2016,Western Canada,Farm stocks,Barley,1218
31/07/2016,Western Canada,Farm stocks,Canola,990
31/07/2016,Western Canada,Farm stocks,Corn,75
31/07/2016,Western Canada,Farm stocks,Flaxseed,174
31/07/2016,Western Canada,Farm stocks,Lentils,35
31/07/2016,Western Canada,Farm stocks,Oats,610
31/07/2016,Western Canada,Farm stocks,Peas,98
31/07/2016,Western Canada,Farm stocks,Rye,31
31/07/2016,Western Canada,Farm stocks,Soybeans,10
31/07/2016,Western Canada,Farm stocks,Wheat,2120
31/07/2016,Western Canada,Farm stocks,Wheat,480
31/07/2016,Western Canada,Farm stocks,Wheat,1640
31/07/2016,Manitoba,Farm stocks,Barley,150
31/07/2016,Manitoba,Farm stocks,Canola,165
31/07/2016,Manitoba,Farm stocks,Corn,75
31/07/2016,Manitoba,Farm stocks,Flaxseed,7
31/07/2016,Manitoba,Farm stocks,Lentils,0
31/07/2016,Manitoba,Farm stocks,Oats,80
31/07/2016,Manitoba,Farm stocks,Peas,3
31/07/2016,Manitoba,Farm stocks,Rye,2
31/07/2016,Manitoba,Farm stocks,Soybeans,10
31/07/2016,Manitoba,Farm stocks,Wheat,165
31/07/2016,Manitoba,Farm stocks,Wheat,0
31/07/2016,Manitoba,Farm stocks,Wheat,165
31/07/2016,Saskatchewan,Farm stocks,Barley,400
31/07/2016,Saskatchewan,Farm stocks,Canola,525
31/07/2016,Saskatchewan,Farm stocks,Flaxseed,150
31/07/2016,Saskatchewan,Farm stocks,Lentils,35
31/07/2016,Saskatchewan,Farm stocks,Oats,400
31/07/2016,Saskatchewan,Farm stocks,Peas,70
31/07/2016,Saskatchewan,Farm stocks,Rye,17
31/07/2016,Saskatchewan,Farm stocks,Soybeans,0
31/07/2016,Saskatchewan,Farm stocks,Wheat,1450
31/07/2016,Saskatchewan,Farm stocks,Wheat,450
31/07/2016,Saskatchewan,Farm stocks,Wheat,1000
31/07/2016,Alberta,Farm stocks,Barley,650
31/07/2016,Alberta,Farm stocks,Canola,300
31/07/2016,Alberta,Farm stocks,Corn,0
31/07/2016,Alberta,Farm stocks,Flaxseed,17
31/07/2016,Alberta,Farm stocks,Lentils,0
31/07/2016,Alberta,Farm stocks,Oats,130
31/07/2016,Alberta,Farm stocks,Peas,25
31/07/2016,Alberta,Farm stocks,Rye,12
31/07/2016,Alberta,Farm stocks,Wheat,495
31/07/2016,Alberta,Farm stocks,Wheat,30
31/07/2016,Alberta,Farm stocks,Wheat,465
31/07/2016,British Columbia,Farm stocks,Barley,18
31/07/2016,British Columbia,Farm stocks,Canola,0
31/07/2016,British Columbia,Farm stocks,Oats,0
31/07/2016,British Columbia,Farm stocks,Peas,0
31/07/2016,British Columbia,Farm stocks,Wheat,10
31/07/2016,British Columbia,Farm stocks,Wheat,10
31/12/2016,Canada,Farm stocks,Barley,6252
31/12/2016,Canada,Farm stocks,Canola,11550
31/12/2016,Canada,Farm stocks,Corn,8774
31/12/2016,Canada,Farm stocks,Flaxseed,498
31/12/2016,Canada,Farm stocks,Lentils,1513
31/12/2016,Canada,Farm stocks,Oats,2298
31/12/2016,Canada,Farm stocks,Peas,2437
31/12/2016,Canada,Farm stocks,Rye,266
31/12/2016,Canada,Farm stocks,Soybeans,1780
31/12/2016,Canada,Farm stocks,Wheat,20377
31/12/2016,Canada,Farm stocks,Wheat,5250
31/12/2016,Canada,Farm stocks,Wheat,15127
31/12/2016,Canada,Commercial stocks,Barley,211
31/12/2016,Canada,Commercial stocks,Canola,1833
31/12/2016,Canada,Commercial stocks,Corn,2876
31/12/2016,Canada,Commercial stocks,Flaxseed,90
31/12/2016,Canada,Commercial stocks,Lentils,206
31/12/2016,Canada,Commercial stocks,Oats,211
31/12/2016,Canada,Commercial stocks,Peas,268
31/12/2016,Canada,Commercial stocks,Rye,32
31/12/2016,Canada,Commercial stocks,Soybeans,1535
31/12/2016,Canada,Commercial stocks,Wheat,3737
31/12/2016,Canada,Commercial stocks,Wheat,890
31/12/2016,Canada,Commercial stocks,Wheat,2846
31/12/2016,Eastern Canada,Farm stocks,Barley,229
31/12/2016,Eastern Canada,Farm stocks,Canola,17
31/12/2016,Eastern Canada,Farm stocks,Corn,7808
31/12/2016,Eastern Canada,Farm stocks,Oats,194
31/12/2016,Eastern Canada,Farm stocks,Rye,22
31/12/2016,Eastern Canada,Farm stocks,Soybeans,1240
31/12/2016,Eastern Canada,Farm stocks,Wheat,1077
31/12/2016,Eastern Canada,Farm stocks,Wheat,1077
31/12/2016,Prince Edward Island,Farm stocks,Barley,49
31/12/2016,Prince Edward Island,Farm stocks,Corn,0
31/12/2016,Prince Edward Island,Farm stocks,Oats,5
31/12/2016,Prince Edward Island,Farm stocks,Soybeans,19
31/12/2016,Prince Edward Island,Farm stocks,Wheat,23
31/12/2016,Prince Edward Island,Farm stocks,Wheat,23
31/12/2016,Nova Scotia,Farm stocks,Barley,3
31/12/2016,Nova Scotia,Farm stocks,Corn,29
31/12/2016,Nova Scotia,Farm stocks,Oats,2
31/12/2016,Nova Scotia,Farm stocks,Soybeans,6
31/12/2016,Nova Scotia,Farm stocks,Wheat,7
31/12/2016,Nova Scotia,Farm stocks,Wheat,7
31/12/2016,New Brunswick,Farm stocks,Barley,12
31/12/2016,New Brunswick,Farm stocks,Canola,0
31/12/2016,New Brunswick,Farm stocks,Corn,19
31/12/2016,New Brunswick,Farm stocks,Oats,22
31/12/2016,New Brunswick,Farm stocks,Soybeans,5
31/12/2016,New Brunswick,Farm stocks,Wheat,7
31/12/2016,New Brunswick,Farm stocks,Wheat,7
31/12/2016,Quebec,Farm stocks,Barley,95
31/12/2016,Quebec,Farm stocks,Canola,10
31/12/2016,Quebec,Farm stocks,Corn,3060
31/12/2016,Quebec,Farm stocks,Oats,120
31/12/2016,Quebec,Farm stocks,Rye,12
31/12/2016,Quebec,Farm stocks,Soybeans,390
31/12/2016,Quebec,Farm stocks,Wheat,140
31/12/2016,Quebec,Farm stocks,Wheat,140
31/12/2016,Ontario,Farm stocks,Barley,70
31/12/2016,Ontario,Farm stocks,Canola,7
31/12/2016,Ontario,Farm stocks,Corn,4700
31/12/2016,Ontario,Farm stocks,Oats,45
31/12/2016,Ontario,Farm stocks,Rye,10
31/12/2016,Ontario,Farm stocks,Soybeans,820
31/12/2016,Ontario,Farm stocks,Wheat,900
31/12/2016,Ontario,Farm stocks,Wheat,900
31/12/2016,Western Canada,Farm stocks,Barley,6023
31/12/2016,Western Canada,Farm stocks,Canola,11533
31/12/2016,Western Canada,Farm stocks,Corn,966
31/12/2016,Western Canada,Farm stocks,Flaxseed,498
31/12/2016,Western Canada,Farm stocks,Lentils,1513
31/12/2016,Western Canada,Farm stocks,Oats,2104
31/12/2016,Western Canada,Farm stocks,Peas,2437
31/12/2016,Western Canada,Farm stocks,Rye,244
31/12/2016,Western Canada,Farm stocks,Soybeans,540
31/12/2016,Western Canada,Farm stocks,Wheat,19300
31/12/2016,Western Canada,Farm stocks,Wheat,5250
31/12/2016,Western Canada,Farm stocks,Wheat,14050
31/12/2016,Manitoba,Farm stocks,Barley,475
31/12/2016,Manitoba,Farm stocks,Canola,1440
31/12/2016,Manitoba,Farm stocks,Corn,906
31/12/2016,Manitoba,Farm stocks,Flaxseed,38
31/12/2016,Manitoba,Farm stocks,Lentils,0
31/12/2016,Manitoba,Farm stocks,Oats,290
31/12/2016,Manitoba,Farm stocks,Peas,80
31/12/2016,Manitoba,Farm stocks,Rye,64
31/12/2016,Manitoba,Farm stocks,Soybeans,470
31/12/2016,Manitoba,Farm stocks,Wheat,2670
31/12/2016,Manitoba,Farm stocks,Wheat,0
31/12/2016,Manitoba,Farm stocks,Wheat,2670
31/12/2016,Saskatchewan,Farm stocks,Barley,2300
31/12/2016,Saskatchewan,Farm stocks,Canola,6150
31/12/2016,Saskatchewan,Farm stocks,Flaxseed,410
31/12/2016,Saskatchewan,Farm stocks,Lentils,1305
31/12/2016,Saskatchewan,Farm stocks,Oats,1200
31/12/2016,Saskatchewan,Farm stocks,Peas,1250
31/12/2016,Saskatchewan,Farm stocks,Rye,135
31/12/2016,Saskatchewan,Farm stocks,Soybeans,70
31/12/2016,Saskatchewan,Farm stocks,Wheat,9950
31/12/2016,Saskatchewan,Farm stocks,Wheat,4350
31/12/2016,Saskatchewan,Farm stocks,Wheat,5600
31/12/2016,Alberta,Farm stocks,Barley,3200
31/12/2016,Alberta,Farm stocks,Canola,3925
31/12/2016,Alberta,Farm stocks,Corn,60
31/12/2016,Alberta,Farm stocks,Flaxseed,50
31/12/2016,Alberta,Farm stocks,Lentils,208
31/12/2016,Alberta,Farm stocks,Oats,580
31/12/2016,Alberta,Farm stocks,Peas,1085
31/12/2016,Alberta,Farm stocks,Rye,45
31/12/2016,Alberta,Farm stocks,Wheat,6600
31/12/2016,Alberta,Farm stocks,Wheat,900
31/12/2016,Alberta,Farm stocks,Wheat,5700
31/12/2016,British Columbia,Farm stocks,Barley,48
31/12/2016,British Columbia,Farm stocks,Canola,18
31/12/2016,British Columbia,Farm stocks,Oats,34
31/12/2016,British Columbia,Farm stocks,Peas,22
31/12/2016,British Columbia,Farm stocks,Wheat,80
31/12/2016,British Columbia,Farm stocks,Wheat,80
31/03/2017,Canada,Farm stocks,Barley,4243
31/03/2017,Canada,Farm stocks,Canary seed,
31/03/2017,Canada,Farm stocks,Canola,6351
31/03/2017,Canada,Farm stocks,Chick peas,
31/03/2017,Canada,Farm stocks,Corn,6295
31/03/2017,Canada,Farm stocks,Flaxseed,341
31/03/2017,Canada,Farm stocks,Lentils,965
31/03/2017,Canada,Farm stocks,Mustard seed,
31/03/2017,Canada,Farm stocks,Oats,1547
31/03/2017,Canada,Farm stocks,Peas,1257
31/03/2017,Canada,Farm stocks,Rye,223
31/03/2017,Canada,Farm stocks,Soybeans,970
31/03/2017,Canada,Farm stocks,Sunflower seed,
31/03/2017,Canada,Farm stocks,Wheat,12729
31/03/2017,Canada,Farm stocks,Wheat,3225
31/03/2017,Canada,Farm stocks,Wheat,9504
31/03/2017,Canada,Commercial stocks,Barley,317
31/03/2017,Canada,Commercial stocks,Canary seed,
31/03/2017,Canada,Commercial stocks,Canola,1577
31/03/2017,Canada,Commercial stocks,Chick peas,
31/03/2017,Canada,Commercial stocks,Corn,2080
31/03/2017,Canada,Commercial stocks,Flaxseed,76
31/03/2017,Canada,Commercial stocks,Lentils,170
31/03/2017,Canada,Commercial stocks,Mustard seed,
31/03/2017,Canada,Commercial stocks,Oats,203
31/03/2017,Canada,Commercial stocks,Peas,438
31/03/2017,Canada,Commercial stocks,Rye,24
31/03/2017,Canada,Commercial stocks,Soybeans,889
31/03/2017,Canada,Commercial stocks,Sunflower seed,
31/03/2017,Canada,Commercial stocks,Wheat,4372
31/03/2017,Canada,Commercial stocks,Wheat,853
31/03/2017,Canada,Commercial stocks,Wheat,3519
31/03/2017,Eastern Canada,Farm stocks,Barley,147
31/03/2017,Eastern Canada,Farm stocks,Canola,8
31/03/2017,Eastern Canada,Farm stocks,Corn,5582
31/03/2017,Eastern Canada,Farm stocks,Oats,113
31/03/2017,Eastern Canada,Farm stocks,Rye,13
31/03/2017,Eastern Canada,Farm stocks,Soybeans,645
31/03/2017,Eastern Canada,Farm stocks,Wheat,630
31/03/2017,Eastern Canada,Farm stocks,Wheat,630
31/03/2017,Prince Edward Island,Farm stocks,Barley,30
31/03/2017,Prince Edward Island,Farm stocks,Corn,0
31/03/2017,Prince Edward Island,Farm stocks,Oats,2
31/03/2017,Prince Edward Island,Farm stocks,Soybeans,11
31/03/2017,Prince Edward Island,Farm stocks,Wheat,13
31/03/2017,Prince Edward Island,Farm stocks,Wheat,13
31/03/2017,Nova Scotia,Farm stocks,Barley,1
31/03/2017,Nova Scotia,Farm stocks,Corn,15
31/03/2017,Nova Scotia,Farm stocks,Oats,1
31/03/2017,Nova Scotia,Farm stocks,Soybeans,2
31/03/2017,Nova Scotia,Farm stocks,Wheat,3
31/03/2017,Nova Scotia,Farm stocks,Wheat,3
31/03/2017,New Brunswick,Farm stocks,Barley,6
31/03/2017,New Brunswick,Farm stocks,Canola,0
31/03/2017,New Brunswick,Farm stocks,Corn,7
31/03/2017,New Brunswick,Farm stocks,Oats,10
31/03/2017,New Brunswick,Farm stocks,Soybeans,2
31/03/2017,New Brunswick,Farm stocks,Wheat,4
31/03/2017,New Brunswick,Farm stocks,Wheat,4
31/03/2017,Quebec,Farm stocks,Barley,60
31/03/2017,Quebec,Farm stocks,Canola,5
31/03/2017,Quebec,Farm stocks,Corn,2100
31/03/2017,Quebec,Farm stocks,Oats,70
31/03/2017,Quebec,Farm stocks,Rye,6
31/03/2017,Quebec,Farm stocks,Soybeans,215
31/03/2017,Quebec,Farm stocks,Wheat,90
31/03/2017,Quebec,Farm stocks,Wheat,90
31/03/2017,Ontario,Farm stocks,Barley,50
31/03/2017,Ontario,Farm stocks,Canola,3
31/03/2017,Ontario,Farm stocks,Corn,3460
31/03/2017,Ontario,Farm stocks,Oats,30
31/03/2017,Ontario,Farm stocks,Rye,7
31/03/2017,Ontario,Farm stocks,Soybeans,415
31/03/2017,Ontario,Farm stocks,Wheat,520
31/03/2017,Ontario,Farm stocks,Wheat,520
31/03/2017,Western Canada,Farm stocks,Barley,4095
31/03/2017,Western Canada,Farm stocks,Canola,6343
31/03/2017,Western Canada,Farm stocks,Corn,713
31/03/2017,Western Canada,Farm stocks,Flaxseed,341
31/03/2017,Western Canada,Farm stocks,Lentils,965
31/03/2017,Western Canada,Farm stocks,Oats,1434
31/03/2017,Western Canada,Farm stocks,Peas,1257
31/03/2017,Western Canada,Farm stocks,Rye,210
31/03/2017,Western Canada,Farm stocks,Soybeans,325
31/03/2017,Western Canada,Farm stocks,Wheat,12099
31/03/2017,Western Canada,Farm stocks,Wheat,3225
31/03/2017,Western Canada,Farm stocks,Wheat,8874
31/03/2017,Manitoba,Farm stocks,Barley,375
31/03/2017,Manitoba,Farm stocks,Canola,850
31/03/2017,Manitoba,Farm stocks,Corn,710
31/03/2017,Manitoba,Farm stocks,Flaxseed,21
31/03/2017,Manitoba,Farm stocks,Lentils,0
31/03/2017,Manitoba,Farm stocks,Oats,160
31/03/2017,Manitoba,Farm stocks,Peas,20
31/03/2017,Manitoba,Farm stocks,Rye,45
31/03/2017,Manitoba,Farm stocks,Soybeans,280
31/03/2017,Manitoba,Farm stocks,Wheat,1745
31/03/2017,Manitoba,Farm stocks,Wheat,0
31/03/2017,Manitoba,Farm stocks,Wheat,1745
31/03/2017,Saskatchewan,Farm stocks,Barley,1485
31/03/2017,Saskatchewan,Farm stocks,Canola,3290
31/03/2017,Saskatchewan,Farm stocks,Flaxseed,290
31/03/2017,Saskatchewan,Farm stocks,Lentils,835
31/03/2017,Saskatchewan,Farm stocks,Oats,780
31/03/2017,Saskatchewan,Farm stocks,Peas,805
31/03/2017,Saskatchewan,Farm stocks,Rye,125
31/03/2017,Saskatchewan,Farm stocks,Soybeans,45
31/03/2017,Saskatchewan,Farm stocks,Wheat,6100
31/03/2017,Saskatchewan,Farm stocks,Wheat,2650
31/03/2017,Saskatchewan,Farm stocks,Wheat,3450
31/03/2017,Alberta,Farm stocks,Barley,2210
31/03/2017,Alberta,Farm stocks,Canola,2190
31/03/2017,Alberta,Farm stocks,Corn,3
31/03/2017,Alberta,Farm stocks,Flaxseed,30
31/03/2017,Alberta,Farm stocks,Lentils,130
31/03/2017,Alberta,Farm stocks,Oats,475
31/03/2017,Alberta,Farm stocks,Peas,420
31/03/2017,Alberta,Farm stocks,Rye,40
31/03/2017,Alberta,Farm stocks,Wheat,4225
31/03/2017,Alberta,Farm stocks,Wheat,575
31/03/2017,Alberta,Farm stocks,Wheat,3650
31/03/2017,British Columbia,Farm stocks,Barley,25
31/03/2017,British Columbia,Farm stocks,Canola,13
31/03/2017,British Columbia,Farm stocks,Oats,19
31/03/2017,British Columbia,Farm stocks,Peas,12
31/03/2017,British Columbia,Farm stocks,Wheat,29
