Record date,Type of crop,Grade,Ktonnes,Region,Global_region,Destination
31/12/2015,Wheat,No.1 CW RS,109.1,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Wheat,No.1 CW RS,6.6,Vancouver,Asia,China P.R.
31/12/2015,Wheat,No.1 CW RS,35.4,Vancouver,Asia,Japan
31/12/2015,Wheat,No.1 CW RS,29.7,Prince Rupert,Asia,Japan
31/12/2015,Wheat,No.2 C PS,4.4,Prince Rupert,Asia,Pakistan
31/12/2015,Wheat,No.2 CE,9.5,Bay & Lakes,Western Hemisphere,United States
31/12/2015,Wheat,No.2 CE,5,St. Lawrence,Western Hemisphere,Venezuela
31/12/2015,Wheat,No.2 CW HWS,1,Thunder Bay,Western Hemisphere,Puerto Rico
31/12/2015,Wheat,No.2 CW RS,11,Vancouver,Africa,Mozambique
31/12/2015,Wheat,No.2 CW RS,66,Vancouver,Africa,South Africa
31/12/2015,Wheat,No.2 CW RS,30.2,Vancouver,Asia,Bangladesh
31/12/2015,Wheat,No.2 CW RS,60.2,Vancouver,Asia,China P.R.
31/12/2015,Wheat,No.2 CW RS,22.3,Vancouver,Asia,Indonesia
31/12/2015,Wheat,No.2 CW RS,17.1,Vancouver,Asia,Malaysia
31/12/2015,Wheat,No.2 CW RS,76.4,Vancouver,Asia,Philippines
31/12/2015,Wheat,No.2 CW RS,11,Vancouver,Asia,United Arab Emirates
31/12/2015,Wheat,No.2 CW RS,6.5,Vancouver,Western Hemisphere,Chile
31/12/2015,Wheat,No.2 CW RS,27.1,Vancouver,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 CW RS,62.7,Vancouver,Western Hemisphere,Ecuador
31/12/2015,Wheat,No.2 CW RS,54.6,Vancouver,Western Hemisphere,Mexico
31/12/2015,Wheat,No.2 CW RS,24.4,Vancouver,Western Hemisphere,Peru
31/12/2015,Wheat,No.2 CW RS,55,Prince Rupert,Asia,Bangladesh
31/12/2015,Wheat,No.2 CW RS,125.2,Prince Rupert,Asia,Indonesia
31/12/2015,Wheat,No.2 CW RS,25.3,Prince Rupert,Asia,Pakistan
31/12/2015,Wheat,No.2 CW RS,32.5,Prince Rupert,Asia,South Korea
31/12/2015,Wheat,No.2 CW RS,30.1,Prince Rupert,Western Hemisphere,Chile
31/12/2015,Wheat,No.2 CW RS,52.5,Prince Rupert,Western Hemisphere,Mexico
31/12/2015,Wheat,No.2 CW RS,29.6,Thunder Bay,Western Europe,Italy
31/12/2015,Wheat,No.2 CW RS,10,Thunder Bay,Western Europe,United Kingdom
31/12/2015,Wheat,No.2 CW RS,15.3,Thunder Bay,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 CW RS,10.9,Thunder Bay,Western Hemisphere,Dominican Republic
31/12/2015,Wheat,No.2 CW RS,19.7,Thunder Bay,Western Hemisphere,Puerto Rico
31/12/2015,Wheat,No.2 CW RS,5,St. Lawrence,Western Europe,Germany
31/12/2015,Wheat,No.2 CW RS,21.6,St. Lawrence,Western Europe,Italy
31/12/2015,Wheat,No.2 CW RS,2,St. Lawrence,Africa,Burkina Faso
31/12/2015,Wheat,No.2 CW RS,12.3,St. Lawrence,Africa,Cameroon
31/12/2015,Wheat,No.2 CW RS,15,St. Lawrence,Africa,Ghana
31/12/2015,Wheat,No.2 CW RS,3.3,St. Lawrence,Africa,Guinea
31/12/2015,Wheat,No.2 CW RS,6.6,St. Lawrence,Africa,Morocco
31/12/2015,Wheat,No.2 CW RS,66,St. Lawrence,Africa,Nigeria
31/12/2015,Wheat,No.2 CW RS,5,St. Lawrence,Africa,Rwanda
31/12/2015,Wheat,No.2 CW RS,25.5,St. Lawrence,Africa,Tanzania
31/12/2015,Wheat,No.2 CW RS,24.2,St. Lawrence,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 CW RS,73,St. Lawrence,Western Hemisphere,Venezuela
31/12/2015,Wheat,No.2 CW RW,2,Thunder Bay,Western Hemisphere,United States
31/12/2015,Wheat,No.2 CW SWS,3.4,Vancouver,Asia,Philippines
31/12/2015,Wheat,No.2 CW SWS,8.8,Vancouver,Western Hemisphere,Chile
31/12/2015,Wheat,No.3 CE,1.9,Bay & Lakes,Western Hemisphere,United States
31/12/2015,Wheat,No.3 CW RW,9.3,Thunder Bay,Western Hemisphere,United States
31/12/2015,Wheat,OTHER,50,Vancouver,Asia,Iraq
31/12/2015,Wheat,OTHER,11.3,Vancouver,Western Hemisphere,Colombia
31/12/2015,Wheat,OTHER,14,Prince Rupert,Western Hemisphere,Chile
31/12/2015,Wheat,OTHER,6.7,Thunder Bay,Western Hemisphere,Colombia
31/12/2015,Wheat,OTHER,7.8,Thunder Bay,Western Hemisphere,Dominican Republic
31/12/2015,Wheat,No.1 CW AD,15.8,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Wheat,No.1 CW AD,19.3,Thunder Bay,Africa,Morocco
31/12/2015,Wheat,No.1 CW AD,27.5,St. Lawrence,Africa,Morocco
31/12/2015,Wheat,No.2 CW AD,22.7,Vancouver,Asia,Japan
31/12/2015,Wheat,No.2 CW AD,1.7,Vancouver,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 CW AD,6.9,Vancouver,Western Hemisphere,Costa Rica
31/12/2015,Wheat,No.2 CW AD,9.8,Thunder Bay,Western Europe,Belgium
31/12/2015,Wheat,No.2 CW AD,21,Thunder Bay,Western Europe,Germany
31/12/2015,Wheat,No.2 CW AD,30,Thunder Bay,Africa,Algeria
31/12/2015,Wheat,No.2 CW AD,6.6,St. Lawrence,Africa,Algeria
31/12/2015,Wheat,No.2 CW AD,6.3,St. Lawrence,Africa,Morocco
31/12/2015,Wheat,No.3 CW AD,60.3,Vancouver,Western Europe,Italy
31/12/2015,Wheat,No.3 CW AD,1.6,Vancouver,Western Hemisphere,Colombia
31/12/2015,Wheat,No.3 CW AD,72.1,Thunder Bay,Western Europe,Italy
31/12/2015,Wheat,No.3 CW AD,36.5,Thunder Bay,Africa,Tunisia
31/12/2015,Wheat,No.3 CW AD,128.3,St. Lawrence,Western Europe,Italy
31/12/2015,Wheat,No.3 CW AD,22.5,St. Lawrence,Western Europe,Netherlands
31/12/2015,Wheat,No.3 CW AD,41.3,St. Lawrence,Africa,Tunisia
31/12/2015,Wheat,No.3 CW AD,25,St. Lawrence,Western Hemisphere,Venezuela
31/12/2015,Wheat,No.4 CW AD,5.8,Thunder Bay,Western Europe,Italy
31/12/2015,Oats,No.1 CW,0.3,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Oats,No.1 CW,48.4,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Oats,No.2 CW,4.4,Vancouver,Western Hemisphere,Ecuador
31/12/2015,Oats,No.2 CW,1.8,Thunder Bay,Western Hemisphere,United States
31/12/2015,Barley,No.1 CW,9.8,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Barley,OTHER,140,Vancouver,Asia,China P.R.
31/12/2015,Barley,OTHER,6.2,Vancouver,Asia,Japan
31/12/2015,Rye,No.1 CW,3.4,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Flaxseed,No.1 CW,0.2,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Flaxseed,No.1 CW,2.2,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Flaxseed,No.1 CW,26.5,Vancouver,Asia,China P.R.
31/12/2015,Flaxseed,No.1 CW,9.5,Thunder Bay,Western Europe,Belgium
31/12/2015,Canola,No.1 CANADA,14.4,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Canola,No.1 CANADA,125.6,Vancouver,Asia,China P.R.
31/12/2015,Canola,No.1 CANADA,194,Vancouver,Asia,Japan
31/12/2015,Canola,No.1 CANADA,90.3,Vancouver,Asia,United Arab Emirates
31/12/2015,Canola,No.1 CANADA,95.9,Prince Rupert,Asia,China P.R.
31/12/2015,Canola,No.1 CANADA,93.6,Prince Rupert,Western Hemisphere,Mexico
31/12/2015,Canola,No.1 CANADA,61.6,Thunder Bay,Western Europe,France
31/12/2015,Canola,No.1 CANADA,23.2,Thunder Bay,Western Hemisphere,Mexico
31/12/2015,Canola,No.1 CANADA,6.2,St. Lawrence,Western Europe,France
31/12/2015,Canola,No.1 CANADA,4,St. Lawrence,Western Hemisphere,Mexico
31/12/2015,Sunflower seed,No.1 CANADA,0.3,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Soybeans,No.1 CANADA,2.9,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Soybeans,No.2 CANADA,150,Vancouver,Asia,China P.R.
31/12/2015,Soybeans,No.2 CANADA,64.5,Vancouver,Asia,Pakistan
31/12/2015,Soybeans,No.2 CANADA,23.5,Bay & Lakes,Western Europe,Germany
31/12/2015,Soybeans,No.2 CANADA,3.1,Bay & Lakes,Western Europe,Ireland
31/12/2015,Soybeans,No.2 CANADA,38.2,Bay & Lakes,Western Europe,Italy
31/12/2015,Soybeans,No.2 CANADA,65.5,Bay & Lakes,Western Europe,Netherlands
31/12/2015,Soybeans,No.2 CANADA,15,Bay & Lakes,Western Europe,Norway
31/12/2015,Soybeans,No.2 CANADA,43.1,St. Lawrence,Western Europe,France
31/12/2015,Soybeans,No.2 CANADA,41.9,St. Lawrence,Western Europe,Germany
31/12/2015,Soybeans,No.2 CANADA,7.3,St. Lawrence,Western Europe,Netherlands
31/12/2015,Soybeans,No.2 CANADA,55,St. Lawrence,Asia,Bangladesh
31/12/2015,Soybeans,No.2 CANADA,84.3,St. Lawrence,Asia,China P.R.
31/12/2015,Soybeans,No.2 CANADA,114.4,St. Lawrence,Asia,Iran
31/12/2015,Soybeans,No.2 CANADA,10,St. Lawrence,Asia,Japan
31/12/2015,Soybeans,No.2 CANADA,42.3,St. Lawrence,Asia,Turkey
31/12/2015,Soybeans,OTHER,32.5,Vancouver,Asia,China P.R.
31/12/2015,Peas,All grades combined,3.2,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Peas,All grades combined,23.4,Vancouver,Asia,Bangladesh
31/12/2015,Peas,All grades combined,44.2,Vancouver,Asia,China P.R.
31/12/2015,Peas,All grades combined,73.7,Vancouver,Asia,India
31/12/2015,Corn,No.2 CE,43.4,St. Lawrence,Western Hemisphere,United States
31/12/2015,Corn,No.2 CW,12.6,Bay & Lakes,Western Hemisphere,United States
31/12/2015,Corn,No.3 CE,10,Bay & Lakes,Western Europe,Ireland
31/12/2015,Corn,No.3 CE,38.3,Bay & Lakes,Western Europe,Netherlands
31/12/2015,Corn,No.3 CE,19.6,Bay & Lakes,Western Europe,United Kingdom
31/12/2015,Corn,No.3 CE,18,St. Lawrence,Western Europe,Netherlands
31/12/2015,Canary seed,OTHER,0.6,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Canary seed,OTHER,0.2,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Canary seed,OTHER,12.6,Thunder Bay,Western Hemisphere,United States
31/12/2015,Mustard seed,No.1 CANADA,1.5,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Lentils,No.1 CANADA,0.7,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Lentils,No.1 CANADA,0.8,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Lentils,No.3 CANADA,62.5,Vancouver,Asia,India
31/12/2015,Lentils,No.3 CANADA,24.8,Vancouver,Asia,United Arab Emirates
31/12/2015,Chick peas,No.1 CANADA,0.3,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Wheat,FEED,3.9,Vancouver,Western Hemisphere,Ecuador
31/12/2015,Wheat,FEED,0,Bay & Lakes,Western Hemisphere,United States
31/12/2015,Wheat,No.1 CW RS,10.3,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Wheat,No.1 CW RS,78,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Wheat,No.1 CW RS,4.8,Vancouver,Western Europe,Italy
31/12/2015,Wheat,No.1 CW RS,72,Vancouver,Asia,Japan
31/12/2015,Wheat,No.1 CW RS,58.3,Prince Rupert,Asia,Japan
31/12/2015,Wheat,No.1 CW RS,2.1,Thunder Bay,Western Europe,Italy
31/12/2015,Wheat,No.1 CW RS,6,St. Lawrence,Western Europe,United Kingdom
31/12/2015,Wheat,No.2 C PS,12.8,Vancouver,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 C PS,42,Vancouver,Western Hemisphere,Peru
31/12/2015,Wheat,No.2 C PS,40,Prince Rupert,Asia,Sri Lanka
31/12/2015,Wheat,No.2 C PS,5.5,Prince Rupert,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 C PS,7.6,Prince Rupert,Western Hemisphere,Peru
31/12/2015,Wheat,No.2 CE,10.8,Bay & Lakes,Western Hemisphere,United States
31/12/2015,Wheat,No.2 CW RS,60.4,Vancouver,Asia,China P.R.
31/12/2015,Wheat,No.2 CW RS,67.2,Vancouver,Asia,Indonesia
31/12/2015,Wheat,No.2 CW RS,10.4,Vancouver,Asia,Kuwait
31/12/2015,Wheat,No.2 CW RS,18.8,Vancouver,Asia,Malaysia
31/12/2015,Wheat,No.2 CW RS,43.4,Vancouver,Asia,United Arab Emirates
31/12/2015,Wheat,No.2 CW RS,10,Vancouver,Asia,Vietnam
31/12/2015,Wheat,No.2 CW RS,17.6,Vancouver,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 CW RS,10.5,Vancouver,Western Hemisphere,Ecuador
31/12/2015,Wheat,No.2 CW RS,79.2,Vancouver,Western Hemisphere,Peru
31/12/2015,Wheat,No.2 CW RS,110,Prince Rupert,Asia,Bangladesh
31/12/2015,Wheat,No.2 CW RS,80.1,Prince Rupert,Asia,Indonesia
31/12/2015,Wheat,No.2 CW RS,12.5,Prince Rupert,Asia,Malaysia
31/12/2015,Wheat,No.2 CW RS,29.4,Prince Rupert,Asia,Sri Lanka
31/12/2015,Wheat,No.2 CW RS,2.8,Prince Rupert,Western Hemisphere,Colombia
31/12/2015,Wheat,No.2 CW RS,14.1,Prince Rupert,Western Hemisphere,Ecuador
31/12/2015,Wheat,No.2 CW RS,71.2,Prince Rupert,Western Hemisphere,Peru
31/12/2015,Wheat,No.2 CW RS,5.1,Thunder Bay,Western Europe,Belgium
31/12/2015,Wheat,No.2 CW RS,25.6,Thunder Bay,Western Europe,Italy
31/12/2015,Wheat,No.2 CW RS,18.9,Thunder Bay,Western Hemisphere,United States
31/12/2015,Wheat,No.2 CW RS,6.5,St. Lawrence,Western Europe,United Kingdom
31/12/2015,Wheat,No.2 CW RS,14.3,St. Lawrence,Africa,Cameroon
31/12/2015,Wheat,No.2 CW RS,8,St. Lawrence,Africa,Egypt
31/12/2015,Wheat,No.2 CW RS,25,St. Lawrence,Africa,Ghana
31/12/2015,Wheat,No.2 CW RS,3,St. Lawrence,Africa,Ivory Coast
31/12/2015,Wheat,No.2 CW RS,3,St. Lawrence,Africa,Malawi
31/12/2015,Wheat,No.2 CW RS,17,St. Lawrence,Africa,Mozambique
31/12/2015,Wheat,No.2 CW RS,57.4,St. Lawrence,Africa,Nigeria
31/12/2015,Wheat,No.2 CW RS,5,St. Lawrence,Africa,Senegal
31/12/2015,Wheat,No.2 CW RS,14.3,St. Lawrence,Western Hemisphere,Dominican Republic
31/12/2015,Wheat,No.2 CW RS,10.9,St. Lawrence,Western Hemisphere,Guyana
31/12/2015,Wheat,No.2 CW RS,18.1,St. Lawrence,Western Hemisphere,Mexico
31/12/2015,Wheat,No.2 CW RW,1.5,St. Lawrence,Western Hemisphere,Guyana
31/12/2015,Wheat,No.3 CE,0.2,Bay & Lakes,Western Hemisphere,United States
31/12/2015,Wheat,No.3 CW RS,58.3,Vancouver,Asia,Bangladesh
31/12/2015,Wheat,No.3 CW RS,10.5,Vancouver,Asia,United Arab Emirates
31/12/2015,Wheat,No.3 CW RS,33,Vancouver,Western Hemisphere,Chile
31/12/2015,Wheat,No.3 CW RS,11,Vancouver,Western Hemisphere,Mexico
31/12/2015,Wheat,No.3 CW RS,11.8,St. Lawrence,Western Hemisphere,Mexico
31/12/2015,Wheat,OTHER,47,St. Lawrence,Western Europe,United Kingdom
31/12/2015,Wheat,OTHER,7.7,St. Lawrence,Western Hemisphere,Dominican Republic
31/12/2015,Wheat,No.1 CW AD,0.1,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Wheat,No.1 CW AD,11.3,Vancouver,Africa,Algeria
31/12/2015,Wheat,No.1 CW AD,35.6,Vancouver,Africa,Morocco
31/12/2015,Wheat,No.1 CW AD,21.2,Thunder Bay,Africa,Algeria
31/12/2015,Wheat,No.1 CW AD,19.5,Thunder Bay,Africa,Morocco
31/12/2015,Wheat,No.1 CW AD,18.3,St. Lawrence,Africa,Morocco
31/12/2015,Wheat,No.2 CW AD,31,Vancouver,Africa,Algeria
31/12/2015,Wheat,No.2 CW AD,12.1,Vancouver,Africa,Morocco
31/12/2015,Wheat,No.2 CW AD,10.2,Vancouver,Asia,Japan
31/12/2015,Wheat,No.2 CW AD,13.8,Vancouver,Asia,Kuwait
31/12/2015,Wheat,No.2 CW AD,23.5,Vancouver,Western Hemisphere,Peru
31/12/2015,Wheat,No.2 CW AD,31.5,Thunder Bay,Western Europe,Belgium
31/12/2015,Wheat,No.2 CW AD,2,St. Lawrence,Western Europe,Belgium
31/12/2015,Wheat,No.2 CW AD,57.8,St. Lawrence,Africa,Algeria
31/12/2015,Wheat,No.3 CW AD,83.6,Vancouver,Western Europe,Italy
31/12/2015,Wheat,No.3 CW AD,5.5,Prince Rupert,Asia,Indonesia
31/12/2015,Wheat,No.3 CW AD,10.1,Thunder Bay,Western Europe,Germany
31/12/2015,Wheat,No.3 CW AD,8,St. Lawrence,Western Europe,Belgium
31/12/2015,Wheat,No.3 CW AD,5.3,St. Lawrence,Western Europe,Italy
31/12/2015,Wheat,No.3 CW AD,2.6,St. Lawrence,Africa,Cameroon
31/12/2015,Wheat,No.3 CW AD,26.3,St. Lawrence,Africa,Morocco
31/12/2015,Wheat,No.4 CW AD,19.6,Thunder Bay,Western Europe,Italy
31/12/2015,Wheat,OTHER,26.3,St. Lawrence,Africa,Algeria
31/12/2015,Oats,No.1 CW,1.1,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Oats,No.1 CW,67.7,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Oats,No.2 CW,5.9,Vancouver,Western Hemisphere,Peru
31/12/2015,Oats,No.2 CW,10.2,Thunder Bay,Western Hemisphere,United States
31/12/2015,Barley,No.1 CW,16,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Barley,OTHER,36.2,Vancouver,Asia,China P.R.
31/12/2015,Rye,No.1 CW,2.7,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Flaxseed,No.1 CW,0,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Flaxseed,No.1 CW,1.2,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Flaxseed,No.1 CW,39.6,Vancouver,Asia,China P.R.
31/12/2015,Flaxseed,No.1 CW,26.4,Thunder Bay,Western Europe,Belgium
31/12/2015,Flaxseed,No.1 CW,26.1,St. Lawrence,Western Europe,Netherlands
31/12/2015,Canola,No.1 CANADA,3.9,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Canola,No.1 CANADA,9.4,Vancouver,Western Europe,Belgium
31/12/2015,Canola,No.1 CANADA,51.8,Vancouver,Asia,Bangladesh
31/12/2015,Canola,No.1 CANADA,228.7,Vancouver,Asia,China P.R.
31/12/2015,Canola,No.1 CANADA,112.7,Vancouver,Asia,Japan
31/12/2015,Canola,No.1 CANADA,118.5,Vancouver,Asia,Pakistan
31/12/2015,Canola,No.1 CANADA,51.7,Vancouver,Asia,United Arab Emirates
31/12/2015,Canola,No.1 CANADA,46.2,Vancouver,Western Hemisphere,Mexico
31/12/2015,Canola,No.1 CANADA,59.8,Prince Rupert,Asia,China P.R.
31/12/2015,Canola,No.1 CANADA,23.5,Thunder Bay,Western Europe,France
31/12/2015,Canola,No.1 CANADA,32.6,St. Lawrence,Western Europe,Belgium
31/12/2015,Canola,No.1 CANADA,5.7,St. Lawrence,Western Europe,France
31/12/2015,Canola,No.1 CANADA,28,St. Lawrence,Western Europe,Portugal
31/12/2015,Sunflower seed,No.1 CANADA,0.5,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Soybeans,No.1 CANADA,2.4,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Soybeans,No.2 CANADA,55,Vancouver,Asia,Bangladesh
31/12/2015,Soybeans,No.2 CANADA,33,Vancouver,Asia,China P.R.
31/12/2015,Soybeans,No.2 CANADA,43.2,Bay & Lakes,Western Europe,France
31/12/2015,Soybeans,No.2 CANADA,3.4,Bay & Lakes,Western Europe,Ireland
31/12/2015,Soybeans,No.2 CANADA,59.1,Bay & Lakes,Western Europe,Italy
31/12/2015,Soybeans,No.2 CANADA,21.2,Bay & Lakes,Western Europe,Netherlands
31/12/2015,Soybeans,No.2 CANADA,18.5,Bay & Lakes,Western Europe,Norway
31/12/2015,Soybeans,No.2 CANADA,3.9,St. Lawrence,Western Europe,Belgium
31/12/2015,Soybeans,No.2 CANADA,15.7,St. Lawrence,Western Europe,Italy
31/12/2015,Soybeans,No.2 CANADA,33.1,St. Lawrence,Western Europe,Netherlands
31/12/2015,Soybeans,No.2 CANADA,24.1,St. Lawrence,Western Europe,Norway
31/12/2015,Soybeans,No.2 CANADA,42.4,St. Lawrence,Asia,China P.R.
31/12/2015,Soybeans,No.2 CANADA,66.5,St. Lawrence,Asia,Iran
31/12/2015,Soybeans,No.2 CANADA,10.3,St. Lawrence,Asia,Japan
31/12/2015,Soybeans,No.2 CANADA,15.3,St. Lawrence,Asia,Pakistan
31/12/2015,Soybeans,No.2 CANADA,27.2,St. Lawrence,Asia,Turkey
31/12/2015,Soybeans,OTHER,65.3,Vancouver,Asia,China P.R.
31/12/2015,Peas,All grades combined,1.8,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Peas,All grades combined,66.4,Vancouver,Asia,China P.R.
31/12/2015,Peas,All grades combined,9.5,Vancouver,Asia,United Arab Emirates
31/12/2015,Corn,No.1 CW,0,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Corn,No.3 CE,32.6,Bay & Lakes,Western Europe,Ireland
31/12/2015,Corn,No.3 CE,16.5,St. Lawrence,Western Europe,Ireland
31/12/2015,Canary seed,OTHER,0.4,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Canary seed,OTHER,0.1,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Canary seed,OTHER,2.7,Thunder Bay,Western Hemisphere,United States
31/12/2015,Mustard seed,No.1 CANADA,1,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Mustard seed,No.1 CANADA,2.3,Thunder Bay,Western Europe,Belgium
31/12/2015,Lentils,No.1 CANADA,0.7,Prairie Elevators,Western Hemisphere,Mexico
31/12/2015,Lentils,No.1 CANADA,0.4,Prairie Elevators,Western Hemisphere,United States
31/12/2015,Lentils,No.2 CANADA,5,Thunder Bay,Africa,Egypt
31/12/2015,Lentils,No.2 CANADA,23,Thunder Bay,Asia,Turkey
31/12/2015,Lentils,No.3 CANADA,11.7,Thunder Bay,Asia,Turkey
31/12/2015,Lentils,OTHER,19.4,Thunder Bay,Asia,Turkey
31/12/2015,Chick peas,No.1 CANADA,0.2,Prairie Elevators,Western Hemisphere,United States
31/03/2016,Wheat,No.1 CW RS,2.1,Prairie Elevators,Western Hemisphere,Mexico
31/03/2016,Wheat,No.1 CW RS,115.4,Prairie Elevators,Western Hemisphere,United States
31/03/2016,Wheat,No.1 CW RS,31.4,Vancouver,Asia,Japan
31/03/2016,Wheat,No.1 CW RS,14.3,Vancouver,Asia,South Korea
31/03/2016,Wheat,No.1 CW RS,59,Prince Rupert,Asia,Japan
31/03/2016,Wheat,No.2 CE,6,St. Lawrence,Africa,Nigeria
31/03/2016,Wheat,No.2 CW RS,42.9,Vancouver,Asia,Bangladesh
31/03/2016,Wheat,No.2 CW RS,60.4,Vancouver,Asia,China P.R.
31/03/2016,Wheat,No.2 CW RS,49.5,Vancouver,Asia,Indonesia
31/03/2016,Wheat,No.2 CW RS,46.8,Vancouver,Asia,Thailand
31/03/2016,Wheat,No.2 CW RS,11,Vancouver,Western Hemisphere,Colombia
31/03/2016,Wheat,No.2 CW RS,31,Vancouver,Western Hemisphere,Ecuador
31/03/2016,Wheat,No.2 CW RS,29.6,Vancouver,Western Hemisphere,Mexico
31/03/2016,Wheat,No.2 CW RS,23.7,Vancouver,Western Hemisphere,Peru
31/03/2016,Wheat,No.2 CW RS,134.1,Prince Rupert,Asia,Bangladesh
31/03/2016,Wheat,No.2 CW RS,125.3,Prince Rupert,Asia,Indonesia
31/03/2016,Wheat,No.2 CW RS,38.1,Prince Rupert,Western Hemisphere,Colombia
31/03/2016,Wheat,No.2 CW RS,2,St. Lawrence,Africa,Burkina Faso
31/03/2016,Wheat,No.2 CW RS,11.6,St. Lawrence,Africa,Cameroon
31/03/2016,Wheat,No.2 CW RS,1.7,St. Lawrence,Africa,Gabon
31/03/2016,Wheat,No.2 CW RS,22,St. Lawrence,Africa,Ghana
31/03/2016,Wheat,No.2 CW RS,8.5,St. Lawrence,Africa,Kenya
31/03/2016,Wheat,No.2 CW RS,11,St. Lawrence,Africa,Mozambique
31/03/2016,Wheat,No.2 CW RS,47,St. Lawrence,Africa,Nigeria
31/03/2016,Wheat,No.2 CW RS,8.7,St. Lawrence,Africa,Tanzania
31/03/2016,Wheat,No.2 CW RS,6,St. Lawrence,Africa,Togo
31/03/2016,Wheat,No.2 CW RS,6,St. Lawrence,Africa,Uganda
31/03/2016,Wheat,No.2 CW RS,27.5,St. Lawrence,Asia,Lebanon
31/03/2016,Wheat,No.2 CW SWS,2.2,Vancouver,Asia,Malaysia
31/03/2016,Wheat,No.2 CW SWS,3.3,Vancouver,Asia,Vietnam
31/03/2016,Wheat,No.3 CW HWS,3,Thunder Bay,Western Hemisphere,United States
31/03/2016,Wheat,No.3 CW RS,35.8,Vancouver,Western Hemisphere,Mexico
31/03/2016,Wheat,OTHER,9.9,Vancouver,Asia,Japan
31/03/2016,Wheat,OTHER,11,Vancouver,Western Hemisphere,Colombia
31/03/2016,Wheat,No.1 CW AD,24.5,Prairie Elevators,Western Hemisphere,United States
31/03/2016,Wheat,No.1 CW AD,27.1,Vancouver,Africa,Algeria
31/03/2016,Wheat,No.1 CW AD,27.5,Vancouver,Africa,Morocco
31/03/2016,Wheat,No.1 CW AD,7.3,Vancouver,Western Hemisphere,Cuba
31/03/2016,Wheat,No.2 CW AD,212.8,Vancouver,Africa,Algeria
31/03/2016,Wheat,No.2 CW AD,18,Vancouver,Asia,Japan
31/03/2016,Wheat,No.2 CW AD,12,Vancouver,Asia,United Arab Emirates
31/03/2016,Wheat,No.2 CW AD,10.5,St. Lawrence,Western Europe,Netherlands
31/03/2016,Wheat,No.2 CW AD,76.5,St. Lawrence,Africa,Algeria
31/03/2016,Wheat,No.2 CW AD,12.7,St. Lawrence,Africa,Nigeria
31/03/2016,Wheat,No.3 CW AD,27.9,Vancouver,Western Europe,Italy
31/03/2016,Wheat,No.3 CW AD,22.5,St. Lawrence,Western Europe,Italy
31/03/2016,Wheat,No.3 CW AD,27.5,St. Lawrence,Africa,Tunisia
31/03/2016,Wheat,No.3 CW AD,5.9,St. Lawrence,Western Hemisphere,Haiti
31/03/2016,Wheat,No.4 CW AD,4.5,St. Lawrence,Western Europe,Italy
31/03/2016,Oats,No.1 CW,1.7,Prairie Elevators,Western Hemisphere,Mexico
31/03/2016,Oats,No.1 CW,89.4,Prairie Elevators,Western Hemisphere,United States
31/03/2016,Oats,No.2 CW,11.9,Thunder Bay,Western Hemisphere,United States
31/03/2016,Barley,No.1 CW,34.7,Prairie Elevators,Western Hemisphere,United States
